Country,Region,Year,Inflation Rate (%),Date
Afghanistan,Asia,2015,5.1,2015-01-01
Afghanistan,Asia,2016,4.3,2016-01-01
Afghanistan,Asia,2017,5.4,2017-01-01
Afghanistan,Asia,2018,5.8,2018-01-01
Afghanistan,Asia,2019,4.4,2019-01-01
Afghanistan,Asia,2020,3.8,2020-01-01
Afghanistan,Asia,2021,7.0,2021-01-01
Afghanistan,Asia,2022,8.4,2022-01-01
Afghanistan,Asia,2023,7.5,2023-01-01
Afghanistan,Asia,2024,6.2,2024-01-01
Albania,Europe,2015,2.1,2015-01-01
Albania,Europe,2016,1.8,2016-01-01
Albania,Europe,2017,2.1,2017-01-01
Albania,Europe,2018,2.6,2018-01-01
Albania,Europe,2019,2.0,2019-01-01
Albania,Europe,2020,1.1,2020-01-01
Albania,Europe,2021,3.5,2021-01-01
Albania,Europe,2022,4.3,2022-01-01
Albania,Europe,2023,4.0,2023-01-01
Albania,Europe,2024,3.0,2024-01-01
Algeria,Africa,2015,4.7,2015-01-01
Algeria,Africa,2016,4.2,2016-01-01
Algeria,Africa,2017,5.4,2017-01-01
Algeria,Africa,2018,5.3,2018-01-01
Algeria,Africa,2019,4.7,2019-01-01
Algeria,Africa,2020,3.9,2020-01-01
Algeria,Africa,2021,7.0,2021-01-01
Algeria,Africa,2022,8.4,2022-01-01
Algeria,Africa,2023,7.4,2023-01-01
Algeria,Africa,2024,6.4,2024-01-01
Angola,Africa,2015,11.6,2015-01-01
Angola,Africa,2016,9.6,2016-01-01
Angola,Africa,2017,10.2,2017-01-01
Angola,Africa,2018,10.3,2018-01-01
Angola,Africa,2019,10.7,2019-01-01
Angola,Africa,2020,10.2,2020-01-01
Angola,Africa,2021,12.2,2021-01-01
Angola,Africa,2022,13.3,2022-01-01
Angola,Africa,2023,12.3,2023-01-01
Angola,Africa,2024,12.2,2024-01-01
Argentina,South America,2015,36.6,2015-01-01
Argentina,South America,2016,35.7,2016-01-01
Argentina,South America,2017,33.8,2017-01-01
Argentina,South America,2018,36.0,2018-01-01
Argentina,South America,2019,35.2,2019-01-01
Argentina,South America,2020,34.7,2020-01-01
Argentina,South America,2021,38.8,2021-01-01
Argentina,South America,2022,39.0,2022-01-01
Argentina,South America,2023,38.9,2023-01-01
Argentina,South America,2024,36.6,2024-01-01
Armenia,Asia,2015,3.9,2015-01-01
Armenia,Asia,2016,3.6,2016-01-01
Armenia,Asia,2017,3.6,2017-01-01
Armenia,Asia,2018,4.2,2018-01-01
Armenia,Asia,2019,3.7,2019-01-01
Armenia,Asia,2020,2.8,2020-01-01
Armenia,Asia,2021,5.7,2021-01-01
Armenia,Asia,2022,7.7,2022-01-01
Armenia,Asia,2023,6.1,2023-01-01
Armenia,Asia,2024,5.5,2024-01-01
Australia,Oceania,2015,1.6,2015-01-01
Australia,Oceania,2016,1.6,2016-01-01
Australia,Oceania,2017,2.2,2017-01-01
Australia,Oceania,2018,2.5,2018-01-01
Australia,Oceania,2019,2.2,2019-01-01
